SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PRESSMN, EQ, 31-Aug-2021,29,29.75,29.75,28,28.15,28.25,28.7,17691,5.08,320,12042,68.07
PRESTIGE, EQ, 31-Aug-2021,347.8,349.9,354.35,349.4,353,352.65,352.56,861054,3035.74,26184,445395,51.73
PRICOLLTD, EQ, 31-Aug-2021,86.75,86.75,90.55,85.5,87,87.4,88.16,553333,487.8,13143,239690,43.32
PRIMESECU, EQ, 31-Aug-2021,89.3,88.95,89.4,85.35,86.9,86.4,87.37,4192,3.66,193,2698,64.36
PRINCEPIPE, EQ, 31-Aug-2021,661.95,669.9,672.8,655.05,663.5,661.8,663.2,407188,2700.47,15712,133484,32.78
PRITI, SM, 31-Aug-2021,193.5,203.15,203.15,197.1,202,202,200.89,32000,64.28,20,24000,75
PRITIKAUTO, EQ, 31-Aug-2021,20.05,20.3,22.8,18.5,19.05,19.05,20.29,2040202,413.88,7425,873495,42.81
PRIVISCL, EQ, 31-Aug-2021,1688.1,1690,1740,1660,1676,1678.05,1700.47,26322,447.6,4155,12177,46.26
PROINDIA, BE, 31-Aug-2021,33.2,34.85,34.85,34.85,34.85,34.85,34.85,953,0.33,12, -, -
PROZONINTU, EQ, 31-Aug-2021,28.2,28.2,28.55,27.2,27.25,27.3,27.75,232144,64.41,1509,166574,71.75
PRSMJOHNSN, EQ, 31-Aug-2021,126,126.3,131.3,125.95,129,129.25,129.1,325685,420.44,5677,185054,56.82
PSB, EQ, 31-Aug-2021,16.75,16.8,17.3,16.7,16.85,16.9,16.99,443526,75.35,1551,212237,47.85
PSPPROJECT, EQ, 31-Aug-2021,421.3,423.45,425,420.9,421.55,422.7,422.86,22562,95.41,1691,10700,47.42
PSUBNKBEES, EQ, 31-Aug-2021,25.35,25.5,25.77,25.13,25.5,25.48,25.56,479585,122.59,975,310337,64.71
PTC, EQ, 31-Aug-2021,99.75,100.2,104.9,99.75,103.3,103.4,102.96,3310376,3408.44,19585,1472639,44.49
PTL, EQ, 31-Aug-2021,46.4,46.8,47.35,46,46.45,46.25,46.64,37382,17.44,518,23565,63.04
PUNJABCHEM, EQ, 31-Aug-2021,1811.35,1812,1933.7,1780.5,1903,1897.1,1884.6,191195,3603.26,23989,71648,37.47
PUNJLLOYD, BZ, 31-Aug-2021,1.75,1.75,1.75,1.7,1.75,1.7,1.73,125588,2.17,180, -, -
PURVA, EQ, 31-Aug-2021,96.4,96.5,99,96,97.3,97.6,97.67,256064,250.09,5888,80873,31.58
PVP, BE, 31-Aug-2021,5,5.15,5.2,4.75,4.8,4.8,4.87,113323,5.51,204, -, -
PVR, EQ, 31-Aug-2021,1334.8,1334,1350,1316,1328,1327.95,1327.72,435723,5785.19,27619,132872,30.49
QGOLDHALF, EQ, 31-Aug-2021,2043.2,2042,2043,2033,2035,2034.1,2036.48,333,6.78,71,276,82.88
QNIFTY, EQ, 31-Aug-2021,1758,1713.6,1781,1713.6,1781,1779.33,1761.65,34,0.6,15,21,61.76
QUESS, EQ, 31-Aug-2021,844.6,844,857.35,837.1,846.9,846.85,849.93,128688,1093.76,8607,86854,67.49
QUICKHEAL, EQ, 31-Aug-2021,224.05,225.8,226,219.1,220,219.9,222.16,139567,310.06,4991,76221,54.61
RADAAN, BE, 31-Aug-2021,1.6,1.65,1.65,1.55,1.65,1.65,1.61,168194,2.7,197, -, -
RADICO, EQ, 31-Aug-2021,882.7,882,892,871.1,874.75,874.15,880.99,167601,1476.55,7880,85168,50.82
RADIOCITY, EQ, 31-Aug-2021,22.95,22.95,23.9,22.75,23.3,23.35,23.44,544981,127.73,3882,349230,64.08
RAILTEL, EQ, 31-Aug-2021,126.3,127,127,124.5,124.8,124.75,124.9,460124,574.69,10005,282922,61.49
RAIN, EQ, 31-Aug-2021,217.95,218.8,227.5,217.8,224.75,225.65,223.98,4411724,9881.5,41101,1203686,27.28
RAJESHEXPO, EQ, 31-Aug-2021,583.7,583.7,589,575.65,585,586.15,584.09,218644,1277.07,14546,128111,58.59
RAJMET, BE, 31-Aug-2021,195.8,200,205.55,199.75,205.55,205.05,204.56,25312,51.78,648, -, -
RAJRATAN, BE, 31-Aug-2021,2059.75,2100,2100,2011.05,2055,2057,2061.08,4241,87.41,831, -, -
RAJRAYON, BZ, 31-Aug-2021,0.35,0.3,0.3,0.3,0.3,0.3,0.3,57410,0.17,34, -, -
RAJSREESUG, EQ, 31-Aug-2021,25.15,24.4,26.4,24.4,25.65,25.4,25.59,25184,6.44,235,12750,50.63
RAJTV, BE, 31-Aug-2021,36.75,37.85,37.9,36,36.85,36.85,37.11,2725,1.01,49, -, -
RALLIS, EQ, 31-Aug-2021,279.1,280.6,284.3,278.05,280.9,281.9,281.25,601746,1692.39,18165,311800,51.82
RAMANEWS, EQ, 31-Aug-2021,19.85,20.9,20.9,19.6,19.95,19.8,19.87,57586,11.44,390,29120,50.57
RAMASTEEL, BE, 31-Aug-2021,234.85,238,245,237,239,238.95,239.89,18313,43.93,441, -, -
RAMCOCEM, EQ, 31-Aug-2021,994.2,997,1011.9,990.95,1008,1008.8,1004.42,325284,3267.21,10477,155684,47.86
RAMCOIND, EQ, 31-Aug-2021,300.35,300.3,300.3,293,294,294.45,294.97,62278,183.7,4763,30494,48.96
RAMCOSYS, EQ, 31-Aug-2021,458.35,455.55,466,451,453,453.05,459.34,99602,457.51,5268,43968,44.14
RAMKY, BE, 31-Aug-2021,160.1,160.1,163.75,156,156.5,157.3,158.6,22228,35.25,251, -, -
RANASUG, BE, 31-Aug-2021,26.65,26.65,27.95,26.65,27.9,27.9,27.58,423456,116.78,1280, -, -
RANEENGINE, EQ, 31-Aug-2021,281.15,285.9,310.8,280.75,295.9,294.2,302.19,43725,132.13,2428,10127,23.16
RANEHOLDIN, EQ, 31-Aug-2021,641.8,644.1,689,643.3,676.85,677.7,676.34,79958,540.79,5054,28616,35.79
RATNAMANI, EQ, 31-Aug-2021,2149.15,2159.9,2197.55,2135.25,2150,2157.95,2154.45,29095,626.84,4771,16123,55.42
RAYMOND, EQ, 31-Aug-2021,402.3,407,409.2,403,404,404.5,405.4,207201,839.98,6062,62033,29.94
RBL, EQ, 31-Aug-2021,889,902.8,942.15,881.6,913,922.7,921.72,16154,148.89,2396,4255,26.34
RBLBANK, EQ, 31-Aug-2021,169.3,169.4,170,164.45,165,165.5,167.17,7227276,12082.11,46611,1911898,26.45
RCF, EQ, 31-Aug-2021,73.1,73.2,73.35,72,72.1,72.15,72.59,850730,617.58,6726,318183,37.4
RCOM, EQ, 31-Aug-2021,2.95,3.05,3.05,2.85,2.85,2.85,2.9,20522118,595.16,13343,9214086,44.9
RECLTD, EQ, 31-Aug-2021,149.85,149.65,152.1,149.25,151.55,151.7,151.12,4378579,6616.95,27129,2293850,52.39
RECLTD, N1, 31-Aug-2021,1085.02,1085.05,1085.05,1085.05,1085.05,1085.05,1085.05,500,5.43,1,500,100
RECLTD, N2, 31-Aug-2021,1195.26,1199,1201,1199,1201,1201,1200,30,0.36,3,30,100
RECLTD, N8, 31-Aug-2021,1124.83,1127.89,1128.9,1125.21,1126.15,1126.12,1126.76,900,10.14,26,800,88.89
RECLTD, N9, 31-Aug-2021,1292,1291,1297.5,1290,1297.4,1297.4,1290.75,1096,14.15,9,1080,98.54
RECLTD, NA, 31-Aug-2021,1405,1399,1399,1399,1399,1399,1399,1,0.01,1,1,100
RECLTD, NH, 31-Aug-2021,1325,1315.01,1329,1315.01,1329,1322.01,1318.95,405,5.34,5,228,56.3
RECLTD, NI, 31-Aug-2021,1190.43,1210.68,1210.68,1182.66,1187.15,1187.15,1186.53,1137,13.49,21,1136,99.91
REDINGTON, EQ, 31-Aug-2021,149.75,149.75,156.8,145.8,156,154.25,151.48,1932142,2926.81,80158,1393677,72.13
REFEX, EQ, 31-Aug-2021,152.25,152.8,156.25,150,150.5,151,152.86,190520,291.22,5856,79416,41.68
RELAXO, EQ, 31-Aug-2021,1176.9,1190,1214.6,1175,1189.15,1191.5,1194.67,360208,4303.31,24402,123108,34.18
RELCAPITAL, EQ, 31-Aug-2021,15.1,15.25,15.25,14.65,14.7,14.75,14.8,1405136,207.94,3414,823543,58.61
RELIANCE, EQ, 31-Aug-2021,2270.25,2276.9,2283.75,2242.25,2257,2258.15,2257.63,12223037,275950.94,206759,6602508,54.02
RELIANCEP1, E1, 31-Aug-2021,1623.4,1632,1640.35,1605,1616.6,1617.3,1617.8,389641,6303.6,13395,252520,64.81
RELIGARE, EQ, 31-Aug-2021,152.65,153.85,157.5,152,153.5,153.6,154.71,898664,1390.36,8026,406478,45.23
RELINFRA, BE, 31-Aug-2021,68.95,70.2,70.2,67,67.45,67.45,68.17,599454,408.67,4492, -, -
REMSONSIND, BE, 31-Aug-2021,208,208.2,208.2,199.1,205.9,203.85,203.18,2465,5.01,49, -, -
RENUKA, BE, 31-Aug-2021,25.45,25.4,26.3,25,25.2,25.15,25.48,2450956,624.58,6990, -, -
REPCOHOME, EQ, 31-Aug-2021,304.85,305,306.35,297,300,299.9,299.81,127977,383.69,7206,68417,53.46
REPL, EQ, 31-Aug-2021,221.05,221.05,222,215.65,218.9,218.15,219.02,10697,23.43,432,6010,56.18
